Word1;Word2;Word3;Word4;Word5;Word6;Word7;Word8;Word9;Word10;Word11;Word12;Word13;Word14;Word15;Word16;Word17;Word18;Word19;Word20;Word21;Word22;Word23;Word24;Word25;Word26;Word27;Word28;Word29;Word30;Word31;Word32;Word33;Word34;Word35;Word36;Word37;Word38;Word39;Word40;Word41;Word42;Word43;Word44;Word45;Word46;Word47;Word48;Char1;Char2;Char3;Char4;Char5;Char6;Capitalrun1;Capitalrun2;Capitalrun3;Spam
0;0;0;0;2,25;0;0;0;0;0,75;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0,75;0,75;1,5;1,5;0;0;0;0;0;0;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,128;0;0;0,128;0,128;3,657;28;128;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,153;0;0;0;0;3,8;23;38;1
0;0;0;0;0;0;0;4,68;0;0;0;0;0;0;0;0;1,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,153;3;15;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,16;0;0;0;0;0;4,16;0;4,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,751;0;0;0;1,428;4;10;-1
0;0;0;0;0;0;0;0;0;0;0;1,81;0;0;0;0;0;0;1,81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9;0;0;0;0;0;0;0;0,159;0;0;0,159;0;1,515;5;50;-1
0;2,7;0;0;0;0;0;0;0;2,7;0;0;0;0;0;0;0;0;8,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,7;0;0;0;0;0;0;0;0;0;2,538;21;33;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,888;8;35;-1
0,31;0;0;0;0,94;0;0;0;0;0;0,31;0;0;0;0;0,31;0;0,31;3,76;0,31;0,62;0;0;0,62;0;0;0;0;0;0;0;0;0;0;0,31;0;0;0;0;0;0;0;0;0;1,25;0;0;0;0;0,055;0;0,055;0,111;0;2,358;32;125;1
0,58;0;0;0;0;0;0;0;0;0;0;0,58;0;0;0;0;0;0;0,58;0;0;0;0;0;1,76;1,17;1,76;0,58;0,58;0,58;0,58;0,58;1,76;0,58;0,58;0,58;0,58;0;0,58;0,58;0;0;0,58;0;0,58;0;0;0;0;0,414;0;0,103;0;0;2;12;94;-1
0,59;0,59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,19;0;0,59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,59;1,19;0;0;0;0,212;0;0,212;0;0,106;1,7;11;68;-1
